experiment_id,C,class_weight,max_iter,tol,solver,fit_time_s,n_iter_max,converged,accuracy_inner_train,balanced_accuracy_inner_train,precision_macro_inner_train,recall_macro_inner_train,f1_macro_inner_train,auc_weighted_inner_train,accuracy_inner_valid,balanced_accuracy_inner_valid,precision_macro_inner_valid,recall_macro_inner_valid,f1_macro_inner_valid,auc_weighted_inner_valid,gap_f1_train_valid,rank_valid,selected_for_final
26,10.0,none,200,0.0001,lbfgs,0.4592517999699339,200,False,0.5840752989061307,0.5951540148459245,0.5758350131016963,0.5951540148459245,0.577632131610586,0.8264446535498627,0.5707762557077626,0.5848549595587972,0.5635609484523949,0.5848549595587972,0.5684391324650782,0.8173838471043513,0.009192999145507863,1,False
40,100.0,balanced,500,0.0001,lbfgs,0.4105078000575304,236,True,0.5836513185788179,0.6142451745662144,0.5763828989216324,0.6142451745662144,0.5836356394112252,0.8264174805372818,0.5667174023338407,0.5992449273289152,0.5609583072326685,0.5992449273289152,0.5682932409740227,0.8180986550677686,0.015342398437202531,2,True
22,1.0,balanced,200,0.0001,lbfgs,0.5247745000524446,132,True,0.5826337657932672,0.61306269540444,0.5751249744247104,0.61306269540444,0.5822048402892038,0.8259099278585819,0.5662100456621004,0.5994469600070391,0.5608634577729184,0.5994469600070391,0.5681172561860762,0.8173812788840468,0.014087584103127604,3,False
24,1.0,balanced,500,0.0001,lbfgs,0.2714836000232026,132,True,0.5826337657932672,0.61306269540444,0.5751249744247104,0.61306269540444,0.5822048402892038,0.8259099278585819,0.5662100456621004,0.5994469600070391,0.5608634577729184,0.5994469600070391,0.5681172561860762,0.8173812788840468,0.014087584103127604,4,False
34,100.0,none,200,0.0001,lbfgs,0.3534577999962494,200,False,0.5846688713643687,0.5961350225174973,0.576717779714068,0.5961350225174973,0.5786902462585523,0.826399062852709,0.5702688990360223,0.5844239565208418,0.5629479565293205,0.5844239565208418,0.5679449147720288,0.8172938400596547,0.010745331486523457,5,False
32,10.0,balanced,500,0.0001,lbfgs,0.5109215000411496,228,True,0.5831425421860426,0.6136413897390247,0.5758840157510884,0.6136413897390247,0.5830301037689491,0.82638725121801,0.5649416539827499,0.5978804608374728,0.5593810898761727,0.5978804608374728,0.5668237737566615,0.8180096325935667,0.016206330012287662,6,False
37,100.0,balanced,200,0.001,lbfgs,0.216922799940221,55,True,0.5800898838293903,0.6103074101790217,0.5720462705375291,0.6103074101790217,0.5793657659314173,0.8252390129733889,0.56519533231862,0.5977314316371459,0.5591275163812219,0.5977314316371459,0.5667787943011564,0.8156699545527003,0.012586971630260901,7,False
39,100.0,balanced,500,0.001,lbfgs,0.09776460006833076,55,True,0.5800898838293903,0.6103074101790217,0.5720462705375291,0.6103074101790217,0.5793657659314173,0.8252390129733889,0.56519533231862,0.5977314316371459,0.5591275163812219,0.5977314316371459,0.5667787943011564,0.8156699545527003,0.012586971630260901,8,False
28,10.0,none,500,0.0001,lbfgs,0.43138660001568496,204,True,0.5837361146442805,0.5948314016050591,0.5754315556574634,0.5948314016050591,0.5772615901401459,0.8264421989961203,0.5692541856925418,0.5830559674647543,0.5621390216032156,0.5830559674647543,0.5667003806723588,0.8172739093967446,0.010561209467787047,9,False
29,10.0,balanced,200,0.001,lbfgs,0.2036045000422746,50,True,0.5812770287458662,0.6115582640344963,0.5729042093018594,0.6115582640344963,0.5804239651648156,0.8251025721632199,0.5649416539827499,0.5985568364364655,0.5585820939681502,0.5985568364364655,0.5665845435788431,0.8154335935615822,0.013839421585972511,10,False
31,10.0,balanced,500,0.001,lbfgs,0.20936450001318008,50,True,0.5812770287458662,0.6115582640344963,0.5729042093018594,0.6115582640344963,0.5804239651648156,0.8251025721632199,0.5649416539827499,0.5985568364364655,0.5585820939681502,0.5985568364364655,0.5665845435788431,0.8154335935615822,0.013839421585972511,11,False
30,10.0,balanced,200,0.0001,lbfgs,0.3555300999432802,200,False,0.5819553972695667,0.6124814045278806,0.5745176158861062,0.6124814045278806,0.5816809726182389,0.8263987762436725,0.5644342973110097,0.5969898222656379,0.558964045831403,0.5969898222656379,0.5662537058854893,0.8180273269327545,0.015427266732749634,12,False
